,model_name,data_name,mbpp_4shot,math-0shot,gsm8k-4shot,humaneval-0shot,hellaswag-10shot,nq-1shot,BoolQ-5shot,mmlu-5shot,lora,epoch,data_size,lr_strategy,mtbench-total,mtbench-writing,mtbench-roleplay,mtbench-reasoning,mtbench-math,mtbench-coding,mtbench-extraction,mtbench-stem,mtbench-humanities,alpaca_eval_v2-total,mbpp-0shot,gsm8k-0shot,nq-0shot,nq-5shot,nq-25shot,BoolQ-0shot,hellaswag-0shot,mmlu-0shot,Truthful_QA-0shot,LongBench-v2-0shot,jmmlu-0shot,cmmlu-0shot
0,LLM-jp-3-7B,all,7.39,1.24,13.19,4.27,25.49,2.16,29.14,16.790662983425413,false,2,10000.0,cosine,2.17,2.1,3.1,2.3,1.4,1.5,1.8,2.4,2.8,0.37,14.79,5.84,17.7,1.22,0.39,55.93,29.92,27.676842105263155,0.09,,26.3880701754386,10.611194029850743
1,Meta-Llama-3-8B,all,59.53,10.8,45.56,7.93,31.24,20.5,44.07,35.88729281767955,true,7,10000.0,cosine,3.38,3.9,3.2,2.5,2.5,3.0,3.1,4.1,4.7,2.62,60.31,27.98,20.5,21.69,24.63,52.23,13.93,45.5080701754386,0.07,,38.37929824561404,17.79761194029851
2,Meta-Llama-3-8B,all,54.86,10.38,45.64,11.59,31.05,19.17,36.15,36.64160220994475,true,8,10000.0,cosine,3.69,3.9,3.8,3.1,2.4,3.0,3.7,4.4,5.2,2.74,59.53,29.34,20.08,20.94,23.96,45.63,12.28,45.39403508771929,0.07,,38.34350877192983,20.61955223880597
3,Meta-Llama-3-8B,all,56.03,9.92,45.34,9.15,31.14,18.89,38.72,36.84353591160222,true,9,10000.0,cosine,3.6,3.8,4.3,2.9,1.8,2.9,3.6,4.0,5.5,1.87,55.25,26.46,20.3,21.44,24.65,46.42,13.42,45.39245614035087,0.05,,37.21859649122807,22.195671641791048
4,Sarashina2-7B,all,28.4,2.62,12.81,8.54,22.01,14.74,28.87,22.147071823204424,true,1,10000.0,cosine,1.97,2.0,2.4,1.6,1.3,1.78,2.4,2.0,2.3,0.75,29.57,9.25,14.88,13.35,14.71,47.49,25.49,26.580701754385963,0.07,,26.24175438596491,28.381940298507462
5,Sarashina2-7B,all,31.13,3.12,17.51,21.34,21.03,15.6,23.98,19.21132596685083,true,10,10000.0,cosine,2.25,2.1,3.1,1.5,1.3,1.6,2.4,2.6,3.4,1.12,31.13,8.95,17.2,12.99,13.88,15.9,16.23,28.23333333333333,0.05,,27.103859649122807,20.601641791044777
6,Sarashina2-7B,all,36.19,3.1,13.27,15.24,21.75,14.27,34.86,19.36756906077348,true,2,10000.0,cosine,2.15,2.1,1.9,1.7,1.4,2.22,2.6,2.1,3.2,1.12,31.91,10.24,14.46,13.35,14.54,38.26,15.48,28.12210526315789,0.06,,23.522982456140355,23.715671641791044
7,Sarashina2-7B,all,36.58,3.28,15.77,15.24,21.58,14.9,41.65,20.951049723756903,true,3,10000.0,cosine,2.39,2.4,2.7,1.8,1.4,2.2,2.6,2.9,3.1,0.75,32.3,10.39,16.07,13.35,13.88,29.14,16.49,27.802280701754388,0.07,,26.97842105263157,26.33985074626865
8,Meta-Llama-3-8B,all,59.92,13.0,49.05,17.07,30.7,21.61,40.89,35.50419889502763,true,5,10000.0,cosine,3.32,3.2,3.8,2.9,1.8,2.67,3.4,4.1,4.6,3.23,65.37,39.88,23.96,22.52,25.32,50.86,14.5,45.291754385964914,0.08,,38.72684210526315,15.668059701492536
9,Sarashina2-7B,all,34.63,3.38,16.0,15.85,23.54,14.93,28.29,18.53845303867403,true,4,10000.0,cosine,2.14,1.8,2.5,1.5,1.8,2.3,2.2,2.2,2.8,0.75,32.3,8.49,17.01,12.66,13.52,15.66,15.9,27.44192982456141,0.04,,22.971228070175435,22.02417910447761
